method,dataset,step_setting,metric,time_type,result,threshold_type
scNODE,SuoDataset,single_step,RECALL,Pseudotime,0.1,prc
scNODE,SuoDataset,single_step,AUC_ROC,Pseudotime,0.5612612612612613,prc
scNODE,MaDataset,multi_step,threshold,Pseudotime,0.0,prc
scNODE,MaDataset,multi_step,F1,Pseudotime,0.72,prc
scNODE,MaDataset,multi_step,AUC_PRC,Pseudotime,0.480489417989418,prc
scNODE,MaDataset,multi_step,PRECISION,Pseudotime,0.5625,prc
scNODE,MaDataset,multi_step,RECALL,Pseudotime,1.0,prc
scNODE,MaDataset,multi_step,AUC_ROC,Pseudotime,0.3253968253968254,prc
scNODE,MaDataset,single_step,threshold,Pseudotime,0.0,prc
scNODE,MaDataset,single_step,F1,Pseudotime,0.4,prc
scNODE,MaDataset,single_step,AUC_PRC,Pseudotime,0.2569444444444444,prc
scNODE,MaDataset,single_step,PRECISION,Pseudotime,0.25,prc
scNODE,MaDataset,single_step,RECALL,Pseudotime,1.0,prc
scNODE,MaDataset,single_step,AUC_ROC,Pseudotime,0.5769230769230769,prc
scNODE,SuoDataset,multi_step,JaccardSimilarity,Real Time,0.512396694214876,prc
scNODE,SuoDataset,single_step,JaccardSimilarity,Real Time,0.09090909090909091,prc
scNODE,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Real Time,0.5,prc
scNODE,GarciaAlonsoDataset,single_step,JaccardSimilarity,Real Time,0.16666666666666666,prc
scNODE,MaDataset,multi_step,JaccardSimilarity,Real Time,0.5625,prc
scNODE,MaDataset,single_step,JaccardSimilarity,Real Time,0.25,prc
scNODE,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Pseudotime,0.5,prc
scNODE,GarciaAlonsoDataset,single_step,JaccardSimilarity,Pseudotime,0.16666666666666666,prc
scNODE,SuoDataset,multi_step,JaccardSimilarity,Pseudotime,0.512396694214876,prc
scNODE,SuoDataset,single_step,JaccardSimilarity,Pseudotime,0.1,prc
scNODE,MaDataset,multi_step,JaccardSimilarity,Pseudotime,0.5625,prc
scNODE,MaDataset,single_step,JaccardSimilarity,Pseudotime,0.25,prc
Cooccurrence,SuoDataset,multi_step,threshold,Real Time,0.0010641285576363,prc
Cooccurrence,SuoDataset,multi_step,F1,Real Time,0.6775956284153005,prc
Cooccurrence,SuoDataset,multi_step,AUC_PRC,Real Time,0.4801838680945384,prc
Cooccurrence,SuoDataset,multi_step,PRECISION,Real Time,0.512396694214876,prc
Cooccurrence,SuoDataset,multi_step,RECALL,Real Time,1.0,prc
Cooccurrence,SuoDataset,multi_step,AUC_ROC,Real Time,0.3687807545106616,prc
Cooccurrence,SuoDataset,single_step,threshold,Real Time,0.0009098932140329,prc
Cooccurrence,SuoDataset,single_step,F1,Real Time,0.1785714285714285,prc
Cooccurrence,SuoDataset,single_step,AUC_PRC,Real Time,0.1721732311805841,prc
Cooccurrence,SuoDataset,single_step,PRECISION,Real Time,0.0980392156862745,prc
Cooccurrence,SuoDataset,single_step,RECALL,Real Time,1.0,prc
Cooccurrence,SuoDataset,single_step,AUC_ROC,Real Time,0.6513513513513515,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,threshold,Real Time,0.0961249338673634,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,F1,Real Time,0.6666666666666666,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_PRC,Real Time,0.3610286595737949,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,PRECISION,Real Time,0.5,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,RECALL,Real Time,1.0,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_ROC,Real Time,0.1080246913580247,prc
Cooccurrence,GarciaAlonsoDataset,single_step,threshold,Real Time,0.0346126656661468,prc
Cooccurrence,GarciaAlonsoDataset,single_step,F1,Real Time,0.2941176470588235,prc
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_PRC,Real Time,0.1805697151424287,prc
Cooccurrence,GarciaAlonsoDataset,single_step,PRECISION,Real Time,0.1724137931034483,prc
Cooccurrence,GarciaAlonsoDataset,single_step,RECALL,Real Time,1.0,prc
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_ROC,Real Time,0.4580645161290322,prc
Cooccurrence,MaDataset,multi_step,threshold,Real Time,0.0816771415725086,prc
Cooccurrence,MaDataset,multi_step,F1,Real Time,0.72,prc
Cooccurrence,MaDataset,multi_step,AUC_PRC,Real Time,0.470959595959596,prc
Cooccurrence,MaDataset,multi_step,PRECISION,Real Time,0.5625,prc
Cooccurrence,MaDataset,multi_step,RECALL,Real Time,1.0,prc
Cooccurrence,MaDataset,multi_step,AUC_ROC,Real Time,0.1746031746031746,prc
Cooccurrence,MaDataset,single_step,threshold,Real Time,0.0816771415725086,prc
Cooccurrence,MaDataset,single_step,F1,Real Time,0.5454545454545454,prc
Cooccurrence,MaDataset,single_step,AUC_PRC,Real Time,0.4027777777777778,prc
Cooccurrence,MaDataset,single_step,PRECISION,Real Time,0.375,prc
Cooccurrence,MaDataset,single_step,RECALL,Real Time,1.0,prc
Cooccurrence,MaDataset,single_step,AUC_ROC,Real Time,0.7435897435897436,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,threshold,Pseudotime,0.1261204251745392,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,F1,Pseudotime,0.8,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_PRC,Pseudotime,0.4623482909881377,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,PRECISION,Pseudotime,0.6666666666666666,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,RECALL,Pseudotime,1.0,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_ROC,Pseudotime,0.3549382716049383,prc
Cooccurrence,GarciaAlonsoDataset,single_step,threshold,Pseudotime,0.1261204251745392,prc
Cooccurrence,GarciaAlonsoDataset,single_step,F1,Pseudotime,0.5882352941176471,prc
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_PRC,Pseudotime,0.371031746031746,prc
Cooccurrence,GarciaAlonsoDataset,single_step,PRECISION,Pseudotime,0.4166666666666667,prc
Cooccurrence,GarciaAlonsoDataset,single_step,RECALL,Pseudotime,1.0,prc
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_ROC,Pseudotime,0.8451612903225807,prc
Cooccurrence,SuoDataset,multi_step,threshold,Pseudotime,0.0036303935097467,prc
Cooccurrence,SuoDataset,multi_step,F1,Pseudotime,0.6775956284153005,prc
Cooccurrence,SuoDataset,multi_step,AUC_PRC,Pseudotime,0.5365429106021217,prc
Cooccurrence,SuoDataset,multi_step,PRECISION,Pseudotime,0.512396694214876,prc
Cooccurrence,SuoDataset,multi_step,RECALL,Pseudotime,1.0,prc
Cooccurrence,SuoDataset,multi_step,AUC_ROC,Pseudotime,0.4535265172225259,prc
Cooccurrence,SuoDataset,single_step,threshold,Pseudotime,0.0004699676050885,prc
Cooccurrence,SuoDataset,single_step,F1,Pseudotime,0.1666666666666666,prc
Cooccurrence,SuoDataset,single_step,AUC_PRC,Pseudotime,0.1866663283801699,prc
Cooccurrence,SuoDataset,single_step,PRECISION,Pseudotime,0.0909090909090909,prc
Cooccurrence,SuoDataset,single_step,RECALL,Pseudotime,1.0,prc
Cooccurrence,SuoDataset,single_step,AUC_ROC,Pseudotime,0.6423423423423423,prc
Cooccurrence,MaDataset,multi_step,threshold,Pseudotime,0.2204481297722816,prc
Cooccurrence,MaDataset,multi_step,F1,Pseudotime,0.8571428571428571,prc
Cooccurrence,MaDataset,multi_step,AUC_PRC,Pseudotime,0.549074074074074,prc
Cooccurrence,MaDataset,multi_step,PRECISION,Pseudotime,0.75,prc
Cooccurrence,MaDataset,multi_step,RECALL,Pseudotime,1.0,prc
Cooccurrence,MaDataset,multi_step,AUC_ROC,Pseudotime,0.238095238095238,prc
Cooccurrence,MaDataset,single_step,threshold,Pseudotime,0.0714637143644974,prc
Cooccurrence,MaDataset,single_step,F1,Pseudotime,0.4615384615384615,prc
Cooccurrence,MaDataset,single_step,AUC_PRC,Pseudotime,0.6,prc
Cooccurrence,MaDataset,single_step,PRECISION,Pseudotime,0.3,prc
Cooccurrence,MaDataset,single_step,RECALL,Pseudotime,1.0,prc
Cooccurrence,MaDataset,single_step,AUC_ROC,Pseudotime,0.7692307692307692,prc
Cooccurrence,SuoDataset,multi_step,JaccardSimilarity,Real Time,0.512396694214876,prc
Cooccurrence,SuoDataset,single_step,JaccardSimilarity,Real Time,0.0980392156862745,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Real Time,0.5,prc
Cooccurrence,GarciaAlonsoDataset,single_step,JaccardSimilarity,Real Time,0.1724137931034483,prc
Cooccurrence,MaDataset,multi_step,JaccardSimilarity,Real Time,0.5625,prc
Cooccurrence,MaDataset,single_step,JaccardSimilarity,Real Time,0.375,prc
Cooccurrence,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Pseudotime,0.6666666666666666,prc
Cooccurrence,GarciaAlonsoDataset,single_step,JaccardSimilarity,Pseudotime,0.4166666666666667,prc
Cooccurrence,SuoDataset,multi_step,JaccardSimilarity,Pseudotime,0.512396694214876,prc
Cooccurrence,SuoDataset,single_step,JaccardSimilarity,Pseudotime,0.0909090909090909,prc
Cooccurrence,MaDataset,multi_step,JaccardSimilarity,Pseudotime,0.75,prc
Cooccurrence,MaDataset,single_step,JaccardSimilarity,Pseudotime,0.3,prc
Cooccurrence,SuoDataset,multi_step,threshold,Real Time,0.1608471246874481,False
Cooccurrence,SuoDataset,multi_step,F1,Real Time,0.5494505494505495,False
Cooccurrence,SuoDataset,multi_step,AUC_PRC,Real Time,0.4801838680945384,False
Cooccurrence,SuoDataset,multi_step,PRECISION,Real Time,0.8620689655172413,False
Cooccurrence,SuoDataset,multi_step,RECALL,Real Time,0.4032258064516129,False
Cooccurrence,SuoDataset,multi_step,AUC_ROC,Real Time,0.3687807545106616,False
Cooccurrence,SuoDataset,single_step,threshold,Real Time,0.1639422620602786,False
Cooccurrence,SuoDataset,single_step,F1,Real Time,0.3636363636363636,False
Cooccurrence,SuoDataset,single_step,AUC_PRC,Real Time,0.1721732311805841,False
Cooccurrence,SuoDataset,single_step,PRECISION,Real Time,0.3333333333333333,False
Cooccurrence,SuoDataset,single_step,RECALL,Real Time,0.4,False
Cooccurrence,SuoDataset,single_step,AUC_ROC,Real Time,0.6513513513513515,False
Cooccurrence,GarciaAlonsoDataset,multi_step,threshold,Real Time,0.0989963667551628,False
Cooccurrence,GarciaAlonsoDataset,multi_step,F1,Real Time,0.6938775510204082,False
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_PRC,Real Time,0.3610286595737949,False
Cooccurrence,GarciaAlonsoDataset,multi_step,PRECISION,Real Time,0.5483870967741935,False
Cooccurrence,GarciaAlonsoDataset,multi_step,RECALL,Real Time,0.9444444444444444,False
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_ROC,Real Time,0.1080246913580247,False
Cooccurrence,GarciaAlonsoDataset,single_step,threshold,Real Time,0.3340147460791137,False
Cooccurrence,GarciaAlonsoDataset,single_step,F1,Real Time,0.25,False
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_PRC,Real Time,0.1805697151424287,False
Cooccurrence,GarciaAlonsoDataset,single_step,PRECISION,Real Time,0.3333333333333333,False
Cooccurrence,GarciaAlonsoDataset,single_step,RECALL,Real Time,0.2,False
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_ROC,Real Time,0.4580645161290322,False
Cooccurrence,MaDataset,multi_step,threshold,Real Time,0.2913894527326705,False
Cooccurrence,MaDataset,multi_step,F1,Real Time,0.6666666666666666,False
Cooccurrence,MaDataset,multi_step,AUC_PRC,Real Time,0.470959595959596,False
Cooccurrence,MaDataset,multi_step,PRECISION,Real Time,0.8333333333333334,False
Cooccurrence,MaDataset,multi_step,RECALL,Real Time,0.5555555555555556,False
Cooccurrence,MaDataset,multi_step,AUC_ROC,Real Time,0.1746031746031746,False
Cooccurrence,MaDataset,single_step,threshold,Real Time,0.0816771415725086,False
Cooccurrence,MaDataset,single_step,F1,Real Time,0.5454545454545454,False
Cooccurrence,MaDataset,single_step,AUC_PRC,Real Time,0.4027777777777778,False
Cooccurrence,MaDataset,single_step,PRECISION,Real Time,0.375,False
Cooccurrence,MaDataset,single_step,RECALL,Real Time,1.0,False
Cooccurrence,MaDataset,single_step,AUC_ROC,Real Time,0.7435897435897436,False
Cooccurrence,GarciaAlonsoDataset,multi_step,threshold,Pseudotime,0.1261204251745392,False
Cooccurrence,GarciaAlonsoDataset,multi_step,F1,Pseudotime,0.8,False
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_PRC,Pseudotime,0.4623482909881377,False
Cooccurrence,GarciaAlonsoDataset,multi_step,PRECISION,Pseudotime,0.6666666666666666,False
Cooccurrence,GarciaAlonsoDataset,multi_step,RECALL,Pseudotime,1.0,False
Cooccurrence,GarciaAlonsoDataset,multi_step,AUC_ROC,Pseudotime,0.3549382716049383,False
Cooccurrence,GarciaAlonsoDataset,single_step,threshold,Pseudotime,0.1261204251745392,False
Cooccurrence,GarciaAlonsoDataset,single_step,F1,Pseudotime,0.5882352941176471,False
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_PRC,Pseudotime,0.371031746031746,False
Cooccurrence,GarciaAlonsoDataset,single_step,PRECISION,Pseudotime,0.4166666666666667,False
Cooccurrence,GarciaAlonsoDataset,single_step,RECALL,Pseudotime,1.0,False
Cooccurrence,GarciaAlonsoDataset,single_step,AUC_ROC,Pseudotime,0.8451612903225807,False
Cooccurrence,SuoDataset,multi_step,threshold,Pseudotime,0.1860135567147769,False
Cooccurrence,SuoDataset,multi_step,F1,Pseudotime,0.5684210526315789,False
Cooccurrence,SuoDataset,multi_step,AUC_PRC,Pseudotime,0.5365429106021217,False
Cooccurrence,SuoDataset,multi_step,PRECISION,Pseudotime,0.8181818181818182,False
Cooccurrence,SuoDataset,multi_step,RECALL,Pseudotime,0.4354838709677419,False
Cooccurrence,SuoDataset,multi_step,AUC_ROC,Pseudotime,0.4535265172225259,False
Cooccurrence,SuoDataset,single_step,threshold,Pseudotime,0.1257910371023809,False
Cooccurrence,SuoDataset,single_step,F1,Pseudotime,0.238095238095238,False
Cooccurrence,SuoDataset,single_step,AUC_PRC,Pseudotime,0.1866663283801699,False
Cooccurrence,SuoDataset,single_step,PRECISION,Pseudotime,0.15625,False
Cooccurrence,SuoDataset,single_step,RECALL,Pseudotime,0.5,False
Cooccurrence,SuoDataset,single_step,AUC_ROC,Pseudotime,0.6423423423423423,False
Cooccurrence,MaDataset,multi_step,threshold,Pseudotime,0.2204481297722816,False
Cooccurrence,MaDataset,multi_step,F1,Pseudotime,0.8571428571428571,False
Cooccurrence,MaDataset,multi_step,AUC_PRC,Pseudotime,0.549074074074074,False
Cooccurrence,MaDataset,multi_step,PRECISION,Pseudotime,0.75,False
Cooccurrence,MaDataset,multi_step,RECALL,Pseudotime,1.0,False
Cooccurrence,MaDataset,multi_step,AUC_ROC,Pseudotime,0.238095238095238,False
Cooccurrence,MaDataset,single_step,threshold,Pseudotime,0.2248134310300052,False
Cooccurrence,MaDataset,single_step,F1,Pseudotime,0.5714285714285714,False
Cooccurrence,MaDataset,single_step,AUC_PRC,Pseudotime,0.6,False
Cooccurrence,MaDataset,single_step,PRECISION,Pseudotime,0.5,False
Cooccurrence,MaDataset,single_step,RECALL,Pseudotime,0.6666666666666666,False
Cooccurrence,MaDataset,single_step,AUC_ROC,Pseudotime,0.7692307692307692,False
Cooccurrence,SuoDataset,multi_step,JaccardSimilarity,Real Time,0.3787878787878788,False
Cooccurrence,SuoDataset,single_step,JaccardSimilarity,Real Time,0.2222222222222222,False
Cooccurrence,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Real Time,0.53125,False
Cooccurrence,GarciaAlonsoDataset,single_step,JaccardSimilarity,Real Time,0.1428571428571428,False
Cooccurrence,MaDataset,multi_step,JaccardSimilarity,Real Time,0.5,False
Cooccurrence,MaDataset,single_step,JaccardSimilarity,Real Time,0.375,False
Cooccurrence,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Pseudotime,0.6666666666666666,False
Cooccurrence,GarciaAlonsoDataset,single_step,JaccardSimilarity,Pseudotime,0.4166666666666667,False
Cooccurrence,SuoDataset,multi_step,JaccardSimilarity,Pseudotime,0.3970588235294117,False
Cooccurrence,SuoDataset,single_step,JaccardSimilarity,Pseudotime,0.1351351351351351,False
Cooccurrence,MaDataset,multi_step,JaccardSimilarity,Pseudotime,0.75,False
Cooccurrence,MaDataset,single_step,JaccardSimilarity,Pseudotime,0.4,False
Moscot,SuoDataset,multi_step,threshold,Real Time,0.072408535,False
Moscot,SuoDataset,multi_step,F1,Real Time,0.7522935779816514,False
Moscot,SuoDataset,multi_step,AUC_PRC,Real Time,0.5853197277539466,False
Moscot,SuoDataset,multi_step,PRECISION,Real Time,0.8723404255319149,False
Moscot,SuoDataset,multi_step,RECALL,Real Time,0.6612903225806451,False
Moscot,SuoDataset,multi_step,AUC_ROC,Real Time,0.5537178786221979,False
Moscot,SuoDataset,single_step,threshold,Real Time,0.028251829,False
Moscot,SuoDataset,single_step,F1,Real Time,0.3111111111111111,False
Moscot,SuoDataset,single_step,AUC_PRC,Real Time,0.27140132290892,False
Moscot,SuoDataset,single_step,PRECISION,Real Time,0.2,False
Moscot,SuoDataset,single_step,RECALL,Real Time,0.7,False
Moscot,SuoDataset,single_step,AUC_ROC,Real Time,0.6765765765765765,False
Moscot,GarciaAlonsoDataset,multi_step,threshold,Real Time,0.32776618,False
Moscot,GarciaAlonsoDataset,multi_step,F1,Real Time,0.56,False
Moscot,GarciaAlonsoDataset,multi_step,AUC_PRC,Real Time,0.4646894187395995,False
Moscot,GarciaAlonsoDataset,multi_step,PRECISION,Real Time,1.0,False
Moscot,GarciaAlonsoDataset,multi_step,RECALL,Real Time,0.3888888888888889,False
Moscot,GarciaAlonsoDataset,multi_step,AUC_ROC,Real Time,0.2993827160493827,False
Moscot,GarciaAlonsoDataset,single_step,threshold,Real Time,0.030271398,False
Moscot,GarciaAlonsoDataset,single_step,F1,Real Time,0.3448275862068966,False
Moscot,GarciaAlonsoDataset,single_step,AUC_PRC,Real Time,0.3670475659606094,False
Moscot,GarciaAlonsoDataset,single_step,PRECISION,Real Time,0.2083333333333333,False
Moscot,GarciaAlonsoDataset,single_step,RECALL,Real Time,1.0,False
Moscot,GarciaAlonsoDataset,single_step,AUC_ROC,Real Time,0.6451612903225806,False
Moscot,MaDataset,multi_step,threshold,Real Time,0.1369748,False
Moscot,MaDataset,multi_step,F1,Real Time,0.875,False
Moscot,MaDataset,multi_step,AUC_PRC,Real Time,0.6438271604938273,False
Moscot,MaDataset,multi_step,PRECISION,Real Time,1.0,False
Moscot,MaDataset,multi_step,RECALL,Real Time,0.7777777777777778,False
Moscot,MaDataset,multi_step,AUC_ROC,Real Time,0.4285714285714285,False
Moscot,MaDataset,single_step,threshold,Real Time,0.1369748,False
Moscot,MaDataset,single_step,F1,Real Time,0.8,False
Moscot,MaDataset,single_step,AUC_PRC,Real Time,0.7777777777777777,False
Moscot,MaDataset,single_step,PRECISION,Real Time,1.0,False
Moscot,MaDataset,single_step,RECALL,Real Time,0.6666666666666666,False
Moscot,MaDataset,single_step,AUC_ROC,Real Time,0.8461538461538461,False
Moscot,GarciaAlonsoDataset,multi_step,threshold,Pseudotime,0.07638191,False
Moscot,GarciaAlonsoDataset,multi_step,F1,Pseudotime,0.8372093023255814,False
Moscot,GarciaAlonsoDataset,multi_step,AUC_PRC,Pseudotime,0.5222879991720571,False
Moscot,GarciaAlonsoDataset,multi_step,PRECISION,Pseudotime,0.72,False
Moscot,GarciaAlonsoDataset,multi_step,RECALL,Pseudotime,1.0,False
Moscot,GarciaAlonsoDataset,multi_step,AUC_ROC,Pseudotime,0.4444444444444444,False
Moscot,GarciaAlonsoDataset,single_step,threshold,Pseudotime,0.066715725,False
Moscot,GarciaAlonsoDataset,single_step,F1,Pseudotime,0.5882352941176471,False
Moscot,GarciaAlonsoDataset,single_step,AUC_PRC,Pseudotime,0.5360606060606061,False
Moscot,GarciaAlonsoDataset,single_step,PRECISION,Pseudotime,0.4166666666666667,False
Moscot,GarciaAlonsoDataset,single_step,RECALL,Pseudotime,1.0,False
Moscot,GarciaAlonsoDataset,single_step,AUC_ROC,Pseudotime,0.8709677419354839,False
Moscot,SuoDataset,multi_step,threshold,Pseudotime,0.030846484,False
Moscot,SuoDataset,multi_step,F1,Pseudotime,0.7424242424242424,False
Moscot,SuoDataset,multi_step,AUC_PRC,Pseudotime,0.5891701860410762,False
Moscot,SuoDataset,multi_step,PRECISION,Pseudotime,0.7,False
Moscot,SuoDataset,multi_step,RECALL,Pseudotime,0.7903225806451613,False
Moscot,SuoDataset,multi_step,AUC_ROC,Pseudotime,0.5680699835975942,False
Moscot,SuoDataset,single_step,threshold,Pseudotime,0.07499062,False
Moscot,SuoDataset,single_step,F1,Pseudotime,0.3870967741935484,False
Moscot,SuoDataset,single_step,AUC_PRC,Pseudotime,0.2234360859658959,False
Moscot,SuoDataset,single_step,PRECISION,Pseudotime,0.2857142857142857,False
Moscot,SuoDataset,single_step,RECALL,Pseudotime,0.6,False
Moscot,SuoDataset,single_step,AUC_ROC,Pseudotime,0.6833333333333333,False
Moscot,MaDataset,multi_step,threshold,Pseudotime,0.112059474,False
Moscot,MaDataset,multi_step,F1,Pseudotime,0.9473684210526316,False
Moscot,MaDataset,multi_step,AUC_PRC,Pseudotime,0.5987654320987654,False
Moscot,MaDataset,multi_step,PRECISION,Pseudotime,0.9,False
Moscot,MaDataset,multi_step,RECALL,Pseudotime,1.0,False
Moscot,MaDataset,multi_step,AUC_ROC,Pseudotime,0.5079365079365079,False
Moscot,MaDataset,single_step,threshold,Pseudotime,0.09785203,False
Moscot,MaDataset,single_step,F1,Pseudotime,0.8571428571428571,False
Moscot,MaDataset,single_step,AUC_PRC,Pseudotime,0.6388888888888888,False
Moscot,MaDataset,single_step,PRECISION,Pseudotime,0.75,False
Moscot,MaDataset,single_step,RECALL,Pseudotime,1.0,False
Moscot,MaDataset,single_step,AUC_ROC,Pseudotime,0.9230769230769232,False
Moscot,SuoDataset,multi_step,JaccardSimilarity,Real Time,0.6029411764705882,False
Moscot,SuoDataset,single_step,JaccardSimilarity,Real Time,0.1842105263157894,False
Moscot,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Real Time,0.3888888888888889,False
Moscot,GarciaAlonsoDataset,single_step,JaccardSimilarity,Real Time,0.2083333333333333,False
Moscot,MaDataset,multi_step,JaccardSimilarity,Real Time,0.7777777777777778,False
Moscot,MaDataset,single_step,JaccardSimilarity,Real Time,0.6666666666666666,False
Moscot,GarciaAlonsoDataset,multi_step,JaccardSimilarity,Pseudotime,0.72,False
Moscot,GarciaAlonsoDataset,single_step,JaccardSimilarity,Pseudotime,0.4166666666666667,False
Moscot,SuoDataset,multi_step,JaccardSimilarity,Pseudotime,0.5903614457831325,False
Moscot,SuoDataset,single_step,JaccardSimilarity,Pseudotime,0.24,False
