method,dataset,step_setting,metric,time_type,result, prc_threshold
PRESCIENT,SuoDataset,simple,F1,Real Time,0.16666666666666666, True
PRESCIENT,SuoDataset,simple,AUC_PRC,Real Time,0.11128029667873038, True
MIOFlow,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.0020100502, True
MIOFlow,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.6666666666666666, True
MIOFlow,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.4319515179809297, True
MIOFlow,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.0020100502, True
MIOFlow,GarciaAlonsoDataset,simple,F1,Pseudotime,0.4, True
MIOFlow,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.28705882352941176, True
CellMNN,MaDataset,all_paths,threshold,Real Time,0.029411765, True
CellMNN,MaDataset,all_paths,F1,Real Time,0.8181818181818182, True
CellMNN,MaDataset,all_paths,AUC_PRC,Real Time,0.5107142857142857, True
CellMNN,MaDataset,simple,threshold,Real Time,0.029411765, True
CellMNN,MaDataset,simple,F1,Real Time,0.6666666666666666, True
CellMNN,MaDataset,simple,AUC_PRC,Real Time,0.38333333333333336, True
scIMF,SuoDataset,all_paths,threshold,Pseudotime,0.0, True
scIMF,SuoDataset,all_paths,F1,Pseudotime,0.6775956284153005, True
scIMF,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5528599105859078, True
scIMF,SuoDataset,simple,threshold,Pseudotime,0.0, True
scIMF,SuoDataset,simple,F1,Pseudotime,0.16666666666666666, True
scIMF,SuoDataset,simple,AUC_PRC,Pseudotime,0.15004234392283683, True
scIMF,MaDataset,all_paths,threshold,Pseudotime,0.17648679, True
scIMF,MaDataset,all_paths,F1,Pseudotime,0.8181818181818182, True
scIMF,MaDataset,all_paths,AUC_PRC,Pseudotime,0.5043209876543211, True
scIMF,MaDataset,simple,threshold,Pseudotime,0.17648679, True
scIMF,MaDataset,simple,F1,Pseudotime,0.6666666666666666, True
scIMF,MaDataset,simple,AUC_PRC,Pseudotime,0.41111111111111115, True
CellMNN,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.0046602893, True
CellMNN,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.6666666666666666, True
CellMNN,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.41931605975723624, True
CellMNN,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.0, True
CellMNN,GarciaAlonsoDataset,simple,F1,Pseudotime,0.2857142857142857, True
CellMNN,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.21638888888888888, True
scIMF,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.512396694214876, True
scIMF,SuoDataset,simple,JaccardSimilarity,Real Time,0.09090909090909091, True
scIMF,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5, True
scIMF,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.17857142857142858, True
scIMF,MaDataset,all_paths,JaccardSimilarity,Real Time,0.5625, True
scIMF,MaDataset,simple,JaccardSimilarity,Real Time,0.3, True
scIMF,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.5, True
scIMF,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.3125, True
scIMF,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.512396694214876, True
scIMF,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.09090909090909091, True
scIMF,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.6923076923076923, True
scIMF,MaDataset,simple,JaccardSimilarity,Pseudotime,0.5, True
PRESCIENT,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.00027777778, True
PRESCIENT,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666, True
PRESCIENT,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.4264140180806848, True
PRESCIENT,GarciaAlonsoDataset,simple,threshold,Real Time,0.0, True
PRESCIENT,GarciaAlonsoDataset,simple,F1,Real Time,0.2857142857142857, True
PRESCIENT,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.19, True
CellMNN,SuoDataset,all_paths,threshold,Pseudotime,0.0, True
CellMNN,SuoDataset,all_paths,F1,Pseudotime,0.6775956284153005, True
CellMNN,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5568371725655404, True
CellMNN,SuoDataset,simple,threshold,Pseudotime,0.0, True
CellMNN,SuoDataset,simple,F1,Pseudotime,0.16666666666666666, True
CellMNN,SuoDataset,simple,AUC_PRC,Pseudotime,0.1434310009504735, True
PRESCIENT,MaDataset,all_paths,threshold,Real Time,0.13039118, True
PRESCIENT,MaDataset,all_paths,F1,Real Time,0.8181818181818182, True
PRESCIENT,MaDataset,all_paths,AUC_PRC,Real Time,0.6514550264550265, True
PRESCIENT,MaDataset,simple,threshold,Real Time,0.13039118, True
PRESCIENT,MaDataset,simple,F1,Real Time,0.5454545454545454, True
PRESCIENT,MaDataset,simple,AUC_PRC,Real Time,0.6805555555555556, True
CellMNN,MaDataset,all_paths,threshold,Pseudotime,0.030011013, True
CellMNN,MaDataset,all_paths,F1,Pseudotime,0.8181818181818182, True
CellMNN,MaDataset,all_paths,AUC_PRC,Pseudotime,0.6051587301587302, True
CellMNN,MaDataset,simple,threshold,Pseudotime,0.030011013, True
CellMNN,MaDataset,simple,F1,Pseudotime,0.6666666666666666, True
CellMNN,MaDataset,simple,AUC_PRC,Pseudotime,0.6666666666666667, True
CellMNN,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.512396694214876, True
CellMNN,SuoDataset,simple,JaccardSimilarity,Real Time,0.09090909090909091, True
CellMNN,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5, True
CellMNN,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.16666666666666666, True
CellMNN,MaDataset,all_paths,JaccardSimilarity,Real Time,0.6923076923076923, True
CellMNN,MaDataset,simple,JaccardSimilarity,Real Time,0.5, True
CellMNN,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.5, True
CellMNN,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.16666666666666666, True
CellMNN,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.512396694214876, True
CellMNN,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.09090909090909091, True
CellMNN,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.6923076923076923, True
CellMNN,MaDataset,simple,JaccardSimilarity,Pseudotime,0.5, True
PISDE,SuoDataset,all_paths,threshold,Real Time,0.0, True
PISDE,SuoDataset,all_paths,F1,Real Time,0.6775956284153005, True
PISDE,SuoDataset,all_paths,AUC_PRC,Real Time,0.512396694214876, True
PISDE,SuoDataset,simple,threshold,Real Time,0.0, True
PISDE,SuoDataset,simple,F1,Real Time,0.16666666666666666, True
PISDE,SuoDataset,simple,AUC_PRC,Real Time,0.08264462809917356, True
PRESCIENT,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.045088567, True
PRESCIENT,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.8372093023255814, True
PRESCIENT,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.6488044363044364, True
PRESCIENT,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.041697327, True
PRESCIENT,GarciaAlonsoDataset,simple,F1,Pseudotime,0.47619047619047616, True
PRESCIENT,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.4240384615384616, True
PRESCIENT,SuoDataset,all_paths,threshold,Pseudotime,0.0, True
PRESCIENT,SuoDataset,all_paths,F1,Pseudotime,0.6775956284153005, True
PRESCIENT,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.5904480369249115, True
PRESCIENT,SuoDataset,simple,threshold,Pseudotime,0.0, True
PRESCIENT,SuoDataset,simple,F1,Pseudotime,0.16666666666666666, True
PRESCIENT,SuoDataset,simple,AUC_PRC,Pseudotime,0.16905276349172213, True
PRESCIENT,MaDataset,all_paths,threshold,Pseudotime,0.122797355, True
PRESCIENT,MaDataset,all_paths,F1,Pseudotime,0.8181818181818182, True
PRESCIENT,MaDataset,all_paths,AUC_PRC,Pseudotime,0.6212962962962963, True
PRESCIENT,MaDataset,simple,threshold,Pseudotime,0.122797355, True
PRESCIENT,MaDataset,simple,F1,Pseudotime,0.5454545454545454, True
PRESCIENT,MaDataset,simple,AUC_PRC,Pseudotime,0.45833333333333326, True
PRESCIENT,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.512396694214876, True
PRESCIENT,SuoDataset,simple,JaccardSimilarity,Real Time,0.09090909090909091, True
PRESCIENT,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5, True
PRESCIENT,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.16666666666666666, True
PRESCIENT,MaDataset,all_paths,JaccardSimilarity,Real Time,0.6923076923076923, True
PRESCIENT,MaDataset,simple,JaccardSimilarity,Real Time,0.375, True
PRESCIENT,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.72, True
PRESCIENT,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.3125, True
PRESCIENT,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.512396694214876, True
PRESCIENT,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.09090909090909091, True
PRESCIENT,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.6923076923076923, True
PRESCIENT,MaDataset,simple,JaccardSimilarity,Pseudotime,0.375, True
PISDE,GarciaAlonsoDataset,all_paths,threshold,Real Time,0.0, True
PISDE,GarciaAlonsoDataset,all_paths,F1,Real Time,0.6666666666666666, True
PISDE,GarciaAlonsoDataset,all_paths,AUC_PRC,Real Time,0.48333333333333334, True
PISDE,GarciaAlonsoDataset,simple,threshold,Real Time,0.0, True
PISDE,GarciaAlonsoDataset,simple,F1,Real Time,0.2857142857142857, True
PISDE,GarciaAlonsoDataset,simple,AUC_PRC,Real Time,0.15111111111111114, True
PISDE,MaDataset,all_paths,threshold,Real Time,0.0, True
PISDE,MaDataset,all_paths,F1,Real Time,0.72, True
PISDE,MaDataset,all_paths,AUC_PRC,Real Time,0.5856481481481481, True
PISDE,MaDataset,simple,threshold,Real Time,0.0, True
PISDE,MaDataset,simple,F1,Real Time,0.4, True
PISDE,MaDataset,simple,AUC_PRC,Real Time,0.2361111111111111, True
PISDE,GarciaAlonsoDataset,all_paths,threshold,Pseudotime,0.0, True
PISDE,GarciaAlonsoDataset,all_paths,F1,Pseudotime,0.6666666666666666, True
PISDE,GarciaAlonsoDataset,all_paths,AUC_PRC,Pseudotime,0.48333333333333334, True
PISDE,GarciaAlonsoDataset,simple,threshold,Pseudotime,0.0, True
PISDE,GarciaAlonsoDataset,simple,F1,Pseudotime,0.2857142857142857, True
PISDE,GarciaAlonsoDataset,simple,AUC_PRC,Pseudotime,0.15111111111111114, True
PISDE,SuoDataset,all_paths,threshold,Pseudotime,0.0, True
PISDE,SuoDataset,all_paths,F1,Pseudotime,0.6775956284153005, True
PISDE,SuoDataset,all_paths,AUC_PRC,Pseudotime,0.510940280399587, True
PISDE,SuoDataset,simple,threshold,Pseudotime,0.0, True
PISDE,SuoDataset,simple,F1,Pseudotime,0.16666666666666666, True
PISDE,SuoDataset,simple,AUC_PRC,Pseudotime,0.10366549208318182, True
PISDE,MaDataset,all_paths,threshold,Pseudotime,0.0013766519, True
PISDE,MaDataset,all_paths,F1,Pseudotime,0.9, True
PISDE,MaDataset,all_paths,AUC_PRC,Pseudotime,0.6071428571428572, True
PISDE,MaDataset,simple,threshold,Pseudotime,0.00079554494, True
PISDE,MaDataset,simple,F1,Pseudotime,0.6, True
PISDE,MaDataset,simple,AUC_PRC,Pseudotime,0.4206349206349206, True
PISDE,SuoDataset,all_paths,JaccardSimilarity,Real Time,0.512396694214876, True
PISDE,SuoDataset,simple,JaccardSimilarity,Real Time,0.09090909090909091, True
PISDE,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Real Time,0.5, True
PISDE,GarciaAlonsoDataset,simple,JaccardSimilarity,Real Time,0.16666666666666666, True
PISDE,MaDataset,all_paths,JaccardSimilarity,Real Time,0.5625, True
PISDE,MaDataset,simple,JaccardSimilarity,Real Time,0.25, True
PISDE,GarciaAlonsoDataset,all_paths,JaccardSimilarity,Pseudotime,0.5, True
PISDE,GarciaAlonsoDataset,simple,JaccardSimilarity,Pseudotime,0.16666666666666666, True
PISDE,SuoDataset,all_paths,JaccardSimilarity,Pseudotime,0.512396694214876, True
PISDE,SuoDataset,simple,JaccardSimilarity,Pseudotime,0.09090909090909091, True
PISDE,MaDataset,all_paths,JaccardSimilarity,Pseudotime,0.8181818181818182, True
PISDE,MaDataset,simple,JaccardSimilarity,Pseudotime,0.42857142857142855, True
